cardId,name,team,year,cardType,grade,position,power,contact,run,defense,OVR
81,하주석,한화,26,N,3,SS,55,55,58,66,58
82,채은성,한화,26,N,3,1B,62,68,42,56,57
83,강백호,한화,26,N,5,1B,76,78,48,58,65
84,황영묵,한화,26,N,4,2B,68,48,62,68,61
85,임종찬,한화,26,N,3,RF,55,65,55,58,58
86,이진영,한화,26,N,3,RF,58,55,60,60,58
87,김태연,한화,26,N,4,1B,68,62,55,62,61
88,페라자,한화,26,N,5,LF,72,80,62,62,69
89,이원석,한화,26,N,3,CF,55,45,68,64,58
90,최인호,한화,26,N,3,LF,60,50,62,60,58
91,문현빈,한화,26,N,4,2B,70,55,60,62,61
92,유민,한화,26,N,3,CF,55,45,70,64,58
93,오재원,한화,26,N,3,2B,55,48,58,62,55
94,안중열,NC,26,N,3,C,55,52,42,72,55
95,김형준,NC,26,N,5,C,62,74,45,76,64
96,박민우,NC,26,N,5,2B,78,48,66,70,65
97,서호철,NC,26,N,4,3B,68,56,58,66,62
98,김주원,NC,26,N,5,SS,64,64,70,74,68
99,신재인,NC,26,N,3,3B,55,55,58,62,57
100,최정원,NC,26,N,4,CF,68,48,70,64,62
101,도태훈,NC,26,N,4,1B,64,58,52,64,59
102,오영수,NC,26,N,3,1B,58,58,48,58,55
103,블레인,NC,26,N,4,1B,65,74,48,58,61
104,김휘집,NC,26,N,4,SS,60,66,55,66,61
105,천재환,NC,26,N,3,LF,58,55,60,60,58
106,한석현,NC,26,N,3,LF,60,48,62,60,57
107,권희동,NC,26,N,4,LF,66,64,52,62,61
108,박건우,NC,26,N,5,RF,78,62,58,66,66
109,이우성,NC,26,N,4,1B,68,64,55,62,62
110,고승민,롯데,26,N,5,2B,72,60,62,62,64
111,김동현,롯데,26,N,3,SS,55,48,58,62,55
112,김민성,롯데,26,N,3,3B,60,55,42,64,55
113,나승엽,롯데,26,N,4,1B,74,60,50,62,61
114,노진혁,롯데,26,N,4,3B,60,60,50,66,59
115,박찬형,롯데,26,N,3,3B,55,55,55,62,56
116,박승욱,롯데,26,N,4,SS,60,48,66,70,61
117,손성빈,롯데,26,N,5,C,55,68,55,74,63
118,레이예스,롯데,26,N,5,LF,82,68,48,58,64
119,손호영,롯데,26,N,4,3B,66,68,55,60,62
120,유강남,롯데,26,N,3,C,54,58,38,70,55
121,윤동희,롯데,26,N,5,RF,74,62,62,66,66
122,장두성,롯데,26,N,3,CF,52,38,78,64,58
123,전민재,롯데,26,N,4,SS,66,48,62,68,61
124,전준우,롯데,26,N,3,LF,66,62,40,52,55
125,한동희,롯데,26,N,4,3B,64,72,46,60,60
126,한태양,롯데,26,N,3,2B,56,45,62,64,56
127,김민식,SSG,26,N,3,C,54,50,42,70,54
128,조형우,SSG,26,N,4,C,58,62,45,72,59
129,이지영,SSG,26,N,3,C,60,48,40,70,54
130,고명준,SSG,26,N,4,1B,64,72,48,60,61
131,김민준,SSG,26,N,3,2B,55,45,62,62,56
132,박성한,SSG,26,N,5,SS,74,52,62,74,65
133,안상현,SSG,26,N,3,SS,52,45,58,66,55
134,전의산,SSG,26,N,3,1B,55,70,40,56,55
135,정준재,SSG,26,N,4,2B,68,44,72,66,62
136,최정,SSG,26,N,5,3B,70,82,48,64,66
137,김성욱,SSG,26,N,3,CF,52,58,60,64,58
138,김재환,SSG,26,N,3,LF,58,72,38,52,55
139,에레디아,SSG,26,N,4,LF,82,62,46,58,62
140,오태곤,SSG,26,N,3,RF,55,55,62,64,59
141,한유섬,SSG,26,N,3,RF,58,72,40,54,56
142,최지훈,SSG,26,N,4,CF,66,45,72,70,63
143,김건희,키움,26,N,4,C,60,68,46,68,60
144,권혁빈,키움,26,N,3,2B,55,48,58,62,55
145,김웅빈,키움,26,N,3,1B,58,66,40,56,55
146,김지석,키움,26,N,3,3B,55,52,55,60,55
147,김태진,키움,26,N,3,2B,60,42,60,64,56
148,데이비슨,키움,26,N,4,1B,60,82,44,60,61
149,서건창,키움,26,N,3,2B,64,42,52,60,54
150,안치홍,키움,26,N,4,2B,72,62,46,62,60
151,어준서,키움,26,N,3,SS,55,45,62,66,57
152,여동욱,키움,26,N,3,SS,52,45,60,64,55
153,최주환,키움,26,N,4,1B,66,66,46,60,59
154,박수종,키움,26,N,3,RF,62,42,66,62,58
155,박주홍,키움,26,N,3,LF,55,55,55,58,55
156,이주형,키움,26,N,3,CF,62,60,62,62,61
157,임병욱,키움,26,N,3,CF,55,50,64,62,57
158,임지열,키움,26,N,3,LF,52,66,45,56,54
159,히우라,키움,26,N,4,2B,64,78,46,58,61
