cardId,name,team,year,cardType,grade,position,velo,stuff,control,stamina,OVR
50049,김범수,기아,26,N,3,RP,77,64,58,38,59
50050,김태형,기아,26,N,3,SP,74,64,62,60,65
50051,네일,기아,26,N,5,SP,77,75,72,66,72
50052,성영탁,기아,26,N,4,CP,75,68,66,40,62
50053,시라카와,기아,26,N,3,SP,75,65,63,62,66
50054,양현종,기아,26,N,5,SP,74,72,74,68,72
50055,올러,기아,26,N,5,SP,77,76,75,70,74
50056,윤영철,기아,26,N,3,RP,72,62,66,38,59
50057,이의리,기아,26,N,3,SP,76,64,58,60,64
50058,이형범,기아,26,N,3,RP,70,58,60,38,56
50059,전상현,기아,26,N,3,RP,74,62,64,38,59
50060,정해영,기아,26,N,4,CP,76,70,66,40,63
50061,조상우,기아,26,N,3,RP,77,66,62,38,60
50062,최지민,기아,26,N,3,RP,76,65,60,38,59
50063,홍건희,기아,26,N,3,RP,75,62,60,38,58
50064,홍민규,기아,26,N,3,RP,73,60,60,38,57
50065,황동하,기아,26,N,4,SP,74,66,65,62,66
50066,김녹원,NC,26,N,3,SP,75,64,64,61,66
50067,라일리,NC,26,N,5,SP,76,74,71,67,72
50068,토다,NC,26,N,4,SP,75,67,66,63,67
50069,김영규,NC,26,N,3,RP,76,65,62,39,60
50070,신민혁,NC,26,N,3,SP,75,64,64,61,66
50071,임지민,NC,26,N,3,RP,72,61,63,38,58
50072,목지훈,NC,26,N,3,RP,72,61,63,38,58
50073,김재열,NC,26,N,3,RP,69,56,59,36,55
50074,임정호,NC,26,N,3,RP,72,61,63,38,58
50075,이준혁,NC,26,N,3,RP,72,61,63,38,58
50076,류진욱,NC,26,N,3,CP,76,72,67,40,63
50077,송명기,NC,26,N,3,RP,76,65,62,39,60
50078,김진호,NC,26,N,3,RP,72,61,63,38,58
50079,전사민,NC,26,N,4,CP,75,69,66,40,62
50080,구창모,NC,26,N,5,SP,76,74,71,67,72
50081,배재환,NC,26,N,3,RP,76,65,62,39,60
50082,테일러,NC,26,N,5,SP,76,74,71,67,72
50083,원종해,NC,26,N,3,RP,72,61,63,38,58
50084,구승민,롯데,26,N,4,RP,75,68,65,40,62
50085,김원중,롯데,26,N,5,CP,78,76,69,40,65
50086,김진욱,롯데,26,N,5,SP,76,74,71,67,72
50087,나균안,롯데,26,N,3,SP,76,64,58,60,64
50088,박세웅,롯데,26,N,5,SP,76,74,71,67,72
50089,박정민,롯데,26,N,3,RP,72,61,63,38,58
50090,박준우,롯데,26,N,3,RP,76,65,62,39,60
50091,박진,롯데,26,N,3,RP,72,61,63,38,58
50092,로드리게스,롯데,26,N,5,SP,76,74,71,67,72
50093,이민석,롯데,26,N,3,RP,76,65,62,39,60
50094,정현수,롯데,26,N,4,RP,75,68,65,40,62
50095,정철원,롯데,26,N,3,RP,72,61,63,38,58
50096,비슬리,롯데,26,N,5,SP,76,74,71,67,72
50097,최이준,롯데,26,N,3,RP,76,65,62,39,60
50098,최준용,롯데,26,N,4,CP,75,69,66,40,62
50099,현도훈,롯데,26,N,3,RP,72,61,63,38,58
50100,홍민기,롯데,26,N,3,RP,72,61,63,38,58
50101,김영우,LG,26,N,3,RP,69,56,59,36,55
50102,김진성,LG,26,N,3,RP,76,65,62,39,60
50103,리오스,LG,26,N,5,RP,74,64,63,39,60
50104,박시원,LG,26,N,3,RP,72,61,63,38,58
50105,배재준,LG,26,N,3,RP,76,65,62,39,60
50106,손주영,LG,26,N,5,CP,78,76,69,40,65
50107,송승기,LG,26,N,4,RP,75,68,65,40,62
50108,우강훈,LG,26,N,3,RP,72,61,63,38,58
50109,웰스,LG,26,N,5,SP,76,74,71,67,72
50110,유영찬,LG,26,N,3,CP,76,72,67,40,63
50111,이정용,LG,26,N,3,RP,72,61,63,38,58
50112,이지강,LG,26,N,3,RP,72,61,63,38,58
50113,임찬규,LG,26,N,5,SP,76,74,71,67,72
50114,장시환,LG,26,N,3,RP,69,56,59,36,55
50115,장현식,LG,26,N,3,SP,75,64,64,61,66
50116,조건희,LG,26,N,3,RP,69,56,59,36,55
50117,톨허스트,LG,26,N,5,SP,76,74,71,67,72
50118,함덕주,LG,26,N,3,SP,75,64,64,61,66
50119,류현진,한화,26,N,5,SP,76,74,71,67,72
50120,문동주,한화,26,N,5,SP,76,74,71,67,72
50121,에르난데스,한화,26,N,4,SP,75,67,66,63,67
50122,이상규,한화,26,N,3,RP,72,61,63,38,58
50123,왕옌청,한화,26,N,5,SP,76,74,71,67,72
50124,화이트,한화,26,N,5,SP,76,74,71,67,72
50125,이민우,한화,26,N,3,RP,76,65,62,39,60
50126,황준서,한화,26,N,3,RP,72,61,63,38,58
50127,김종수,한화,26,N,3,RP,76,65,62,39,60
50128,김서현,한화,26,N,3,CP,76,72,67,40,63
50129,윤산흠,한화,26,N,3,RP,72,61,63,38,58
50130,조동욱,한화,26,N,4,RP,75,68,65,40,62
50131,박상원,한화,26,N,4,RP,75,68,65,40,62
50132,정우주,한화,26,N,3,RP,76,65,62,39,60
50133,주현상,한화,26,N,3,RP,76,65,62,39,60
50134,박준영A,한화,26,N,4,SP,75,67,66,63,67
50135,박준영B,한화,26,N,3,RP,69,56,59,36,55
50136,김건우,SSG,26,N,3,SP,75,64,64,61,66
50137,김광현,SSG,26,N,5,SP,76,74,71,67,72
50138,김민,SSG,26,N,3,RP,72,61,63,38,58
50139,노경은,SSG,26,N,4,RP,75,68,65,40,62
50140,문승원,SSG,26,N,3,RP,76,65,62,39,60
50141,박시후,SSG,26,N,3,RP,69,56,59,36,55
50142,박종훈,SSG,26,N,3,RP,69,56,59,36,55
50143,베니지아노,SSG,26,N,4,SP,75,67,66,63,67
50144,서진용,SSG,26,N,3,RP,72,61,63,38,58
50145,이건욱,SSG,26,N,3,RP,72,61,63,38,58
50146,이로운,SSG,26,N,3,RP,76,65,62,39,60
50147,조병현,SSG,26,N,4,CP,75,69,66,40,62
50148,최민준,SSG,26,N,3,SP,76,64,58,60,64
50149,타케다,SSG,26,N,3,SP,75,64,64,61,66
50150,한두솔,SSG,26,N,3,RP,76,65,62,39,60
50151,해치,SSG,26,N,4,SP,75,67,66,63,67
50152,김선기,키움,26,N,3,RP,69,56,59,36,55
50153,김재웅,키움,26,N,3,RP,72,61,63,38,58
50154,박윤성,키움,26,N,3,RP,72,61,63,38,58
50155,박정훈,키움,26,N,3,RP,72,61,63,38,58
50156,박준현,키움,26,N,4,SP,75,67,66,63,67
50157,박지성,키움,26,N,3,RP,72,61,63,38,58
50158,배동현,키움,26,N,3,SP,75,64,64,61,66
50159,안우진,키움,26,N,5,SP,76,74,71,67,72
50160,알칸타라,키움,26,N,5,SP,76,74,71,67,72
50161,오석주,키움,26,N,3,RP,76,65,62,39,60
50162,원종현,키움,26,N,3,RP,76,65,62,39,60
50163,유토,키움,26,N,4,CP,75,69,66,40,62
50164,윤석원,키움,26,N,3,RP,69,56,59,36,55
50165,조영건,키움,26,N,3,RP,69,56,59,36,55
50166,하영민,키움,26,N,4,SP,75,67,66,63,67
